"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854201822627656112","Wed Nov 06 16:44:12 +0000 2024","1","@sarrpuuut Ketakutan terbesar gw beneran kecuali tuh fufufafa dipensiunkan dini gapapa dah.","1854203141136478334","","sarrpuuut","in","","0","1","0","https://x.com/naapenaa/status/1854203141136478334","1527130514133766144","naapenaa"
"1854177147033985194","Wed Nov 06 16:42:41 +0000 2024","0","@_Miracle_Rain_ Pertanda ada kewajiban yang harus kau selesaikan biar ndak kayak pengikut kultus fufufafa","1854202756917350631","","_Miracle_Rain_","in","Fokus Karir","0","0","0","https://x.com/AlzardMikyura/status/1854202756917350631","1266598314029416449","AlzardMikyura"
"1854155374913577174","Wed Nov 06 16:42:36 +0000 2024","0","@tanyarlfes Wkwkwk ngakak sendernya pinter. Ini kayaknya biar kasusnya fufufafa ngga tenggelam deh biar hitz terus wkwk","1854202735710908423","","tanyarlfes","in","","0","0","0","https://x.com/amusemuf/status/1854202735710908423","1507170671574482979","amusemuf"
"1854202685635060220","Wed Nov 06 16:42:24 +0000 2024","0","Persiapan 2029 utk FUFUFAFA butuh biaya besar.","1854202685635060220","","","in","Kebumen, Indonesia","0","0","0","https://x.com/Dunianyasantai/status/1854202685635060220","1619950656714051585","Dunianyasantai"
"1853980771058602043","Wed Nov 06 16:41:28 +0000 2024","0","@StefanAntonio__ Budi arie adalah kunci terakhir bagi Fufufafa.. Klo dibongkar maka keluarga oslo akan murka dan segalanya akan hancur berantakan sampai kedalam istana negara..","1854202449676132426","","StefanAntonio__","in","Papua Barat, Indonesia","0","0","0","https://x.com/j_cassava/status/1854202449676132426","1515412718","j_cassava"
"1854039258736021624","Wed Nov 06 16:30:02 +0000 2024","0","@detikcom Lahh kalian heran Pak Pol ? Apa ga merasa aneh juga BUDI ARIE bisa jadi MenKominfo ? Atau #FufufafaAibNasional anak @jokowi bisa jadi wapres ? Tau ga kesamaan mereka bertiga (Budi Arie Fufufafa Joko Widodo) apa ? Sama² didalam PROJO dan JASMEV. #TangkapJokoWidoodo","1854199572333199846","","detikcom","in","Indonesia Raya","0","0","0","https://x.com/ibnu_AbdulManan/status/1854199572333199846","177984555","ibnu_AbdulManan"
"1854199550539714846","Wed Nov 06 16:29:56 +0000 2024","4","Kalo berani pecat saya.. Saya bongkar rahasia negara!! Bagusan bapak bongkar siapa fufufafa... Ayo botak separohw.. https://t.co/gHaVxQdRqT","1854199550539714846","https://pbs.twimg.com/media/GbtwqisagAEA-7m.jpg","","in","Соловецкий район, Архангельска","0","1","0","https://x.com/BeYumoi/status/1854199550539714846","1603651337396555777","BeYumoi"
"1854168623994253584","Wed Nov 06 16:29:41 +0000 2024","4","@Dennysiregar7 Jangan lupa dgn kasus Nebeng Fufufafa dan Mulyono","1854199487411134474","","Dennysiregar7","in","Indonesia","0","0","0","https://x.com/Megatop99/status/1854199487411134474","278039207","Megatop99"
"1854199125455360495","Wed Nov 06 16:29:20 +0000 2024","1","Iya sih doi public speakingnya lebih bagus daripada fufufafa. Cuman ya gak anj dua duanya dibawah standar","1854199397296599522","","eaveroom","in","","0","0","0","https://x.com/eaveroom/status/1854199397296599522","1775856232932536320","eaveroom"
"1854189632017301705","Wed Nov 06 16:29:11 +0000 2024","0","@nawfestival Awowkwowk fufufafa","1854199360592220559","","nawfestival","in","ATEEZ OT8","0","1","0","https://x.com/wuyoodose/status/1854199360592220559","1775515219768623104","wuyoodose"
"1854154893927600168","Wed Nov 06 16:28:19 +0000 2024","2","@liputan6dotcom baru ada sekarang kek ngene2 ngebajer Fufufafa ye lu Min pupupapa si cupupapa https://t.co/MBFunQc8Dn","1854199141041398237","https://pbs.twimg.com/tweet_video_thumb/GbtwSEWaYAAhsz4.jpg","liputan6dotcom","in","","0","0","0","https://x.com/sayyidsyarifff/status/1854199141041398237","1604115516192620544","sayyidsyarifff"
"1854199125455360495","Wed Nov 06 16:28:15 +0000 2024","1","Gak anj. Standar kalian kerendahan gara gara fufufafa atau gmn sih anj","1854199125455360495","","","in","","0","1","0","https://x.com/eaveroom/status/1854199125455360495","1775856232932536320","eaveroom"
"1854199024347418810","Wed Nov 06 16:27:51 +0000 2024","0","Denny Siregar Kritik Wapres Gibran yang Kerjanya Bagi-bagi Susu Warganet: Obsesi dan Keahlian Fufufafa https://t.co/sLKsy38ugd","1854199024347418810","","","in","Indonesia","0","0","0","https://x.com/BeritakanID_com/status/1854199024347418810","1512483442600341505","BeritakanID_com"
"1854168623994253584","Wed Nov 06 16:27:51 +0000 2024","0","@Dennysiregar7 Bisa saja Bang.... Tapi dia nanti akan dapat fufufafa awards lo ....awokawokawok","1854199023789576677","","Dennysiregar7","in","","0","0","0","https://x.com/osmanbwy/status/1854199023789576677","1539462289342201856","osmanbwy"
"1854168623994253584","Wed Nov 06 16:27:51 +0000 2024","0","@Dennysiregar7 Budi Ari mesti belajar dari Fufufafa pasti aman.","1854199022854053983","","Dennysiregar7","in","","0","0","0","https://x.com/jack01926231/status/1854199022854053983","1156170344530698243","jack01926231"
"1854198826526994541","Wed Nov 06 16:27:04 +0000 2024","0","memang Allah Maha membolak balikkan hati.. punya temen dulu getol bgt anti mulyono kritis bgt sama pemerintahan. skrg kasus fufufafa buat dia b aja dan bangga bgt sama presiden skrg salah satu dampak lulusan luar negeri disuruh pulang adalah jadi penjilat pemerintah..","1854198826526994541","","","in","Austin, TX","0","1","0","https://x.com/fitriaRdyt/status/1854198826526994541","68013923","fitriaRdyt"
"1854198821993222248","Wed Nov 06 16:27:03 +0000 2024","466","Wadwuuh....Orang No 2 di Negara Besar ini Tapi Public Speakingnya Nol Besar. ‍️‍️ - Untuk Para Pemuja Fufufafa Aku Doakan Semoga Anak2 Anda Seperti Fufufafa Aamiin - #fufufafawapresilegal #FufufafaAibNasional https://t.co/50LUS9tMcZ","1854198821993222248","https://pbs.twimg.com/ext_tw_video_thumb/1854198680636772352/pu/img/_oTGvq03wSzLShQJ.jpg","","in","Solo The Spirit Of Java","17","88","185","https://x.com/S4N_W1B1/status/1854198821993222248","1037981216186675202","S4N_W1B1"
"1854198726744842401","Wed Nov 06 16:26:40 +0000 2024","0","Halaaaahhh cem betul aja kelen bah Tim Hukum Bakal Laporkan Penebar Fitnah soal Bobby-Surya ke Polisi https://t.co/2Xmo4kLIw2","1854198726744842401","","","in","","0","0","0","https://x.com/fufufafa_11/status/1854198726744842401","1839711446701355010","fufufafa_11"
